Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
25/Apr/2022 07:03:17,2022_seal1,MO,473b46414766629cbcc627d1b9ffec46b239666248aac627fb8600ed461b326662bbacc627a0e100ed46212b6662dfb1c6274c3c01ed46f52366624efbc527d2f401ed46e91c6662bfe3c627be1e02ed461c1666625c13c727f37302ed46e20e6662424fc72782df02ed4617086662d970c7275b4a03ed460bad6562bc7bc927ccf603ed46cba56562c369c92727c803ed46c39e65626f52c92761b203ed467c8965621cfbc8274d0303ed46a67465622bc0c827a27202ed467466656285bac8271c1202ed46044a6562ebe0c827b1df00ed465043656231e7c827a58c00ed46d53b65621d01c927dfecffec46f93465628202c9277be9ffec46ad266562340ac9274120ffec45,"66.75138333333334,-31.851383333333334",,263,6
24/Apr/2022 09:03:43,2022_seal1,MO,472546d41165626a2ac92713aefeec46c60a6562493ac927314ffeec46c80365622c47c9270a08feec46b3fc64626b49c927ff5bfdec46ecf564625d4dc927b805fdec4665e06462c2f5c827d0dcfaec468fd96462c9f8c82793dcfaec45,"66.75138333333334,-31.851383333333334",,94,2
24/Apr/2022 05:10:37,2022_seal1,MO,54285060db64626ff74223fb8104004100000100000100000100ff0000ffff506a0e64626c0000201046040f8200000100000100000100ff0000ffff506d0764626c0001200b0204090100000100000100000100ff0000ffff50630064626c0000200a0204090200000100000100000100ff0000ffff502bfa63626c00012007c204070100000100000100000100ff0000ffff5027ec63626c0040200cc6040d020000010000010000010000000000005006e563626c00012009c2040a82000001000001000001000000000000502ede63626fffc12007c204074200000100000100000100000000000045,"66.77938333333333,-31.899366666666666",,235,5
24/Apr/2022 05:02:13,2022_seal1,MO,542750bf5564626c00012006420403c200000100000100000101ff0101ffff50894e64626c000120078204050100000100000100000101ff0101ffff50fe4064626c000120060204084100000100000100000101ff0101ffff506e3964626c000120074204094200000100000100000101ff0101ffff509f3264626fffc0200c81040a8200000100000100000101ff0101ffff509d2464626c0001200a83040dc400000100000100000100ff0000ffff50861c64626c0001200f88040f0900000100000100000100ff0000ffff507e1564626c00002012c2040e0200000100000100000100ff0000ffff45,"66.75138333333334,-31.851383333333334",,235,5
24/Apr/2022 05:01:46,2022_seal1,MO,5945d264624f000000911cac3d09b18a3dbda1933db02f333aaa04ac0f8429a4529c9278d5e8fd028c033e775f4c667829110e2c03d700a000e50011015c01f500f70066018d01b3013901c500b0005b0039005c008a00b300ae004600520064009000d700da00250127012c012b010f0194008a00850064005e0049003e0043004c004a008800000045,"66.77938333333333,-31.899366666666666",,138,3
24/Apr/2022 04:43:51,2022_seal1,MO,542750aed464626ff84123fc8104004100000100000100000100ff0001ffff502ecd64626ff98123fd8104004100000100000100000100ff0000ffff5004c664626ffa4123fe8104004100000100000100000100ff0001ffff5007bf64626ffb8123ff4104008200000100000100000100ff0001ffff5017b164626ffdc120000204008100000100000100000100ff0000ffff501caa64626ffe8120004204008200000100000100000100ff0000ffff50c86264626c000120028104020100000100000100000101ff0101ffff50915c64626c000120038304028200000100000100000101ff0101ffff45,"66.75138333333334,-31.851383333333334",,235,5
24/Apr/2022 04:33:10,2022_seal1,MO,471e466ad2646285d3c827ce49faec467ecb6462f4b5c827bdc2f9ec466ac464625b9fc827304bf9ec4676bd6462fa94c827e1daf8ec4689af64620a95c827953bf8ec468fa864620aadc827ccf5f7ec45,"66.78991666666667,-32.02466666666667",,81,2
24/Apr/2022 01:13:18,2022_seal1,MO,5421506ea364626ffec120008104008100000100000100000100ff0001ffff50c29b64626ffec12000c104008100000100000100000100ff0000ffff50c09464626ffec12000c104008100000100000100000100ff0001ffff50678d64626fff0120010104008100000100000100000100ff0001ffff50618764626fff0120010104008100000100000100000100ff0001ffff500f7964626fff412001410400c200000100000100000100ff0001ffff50e47064626fffc12001c104010100000100000100000100ff0001ffff50dc6964626c000220020104014200000100000100000101ff0101ffff45,"66.7968,-31.8221",,235,5
24/Apr/2022 01:03:24,2022_seal1,MO,47184647a16462f1c3c82768d0f7ec4681ab6362ded2c927d269ecec463ca46362f0e0c927057decec464396636207f7c9277ab8ecec46e78e63624714ca2764dcecec46f9876362da15ca2717d9ecec46208163627023ca2764f8ecec46fa7963626b36ca27e219edec46037363628b4fca278537edec46d96b6362646aca277759edec46d8646362ae93ca27bf7fedec46d45d63623ccdca2726a3edec46d55663628b0ecb2704c4edec46d94f63622656cb27bff6edec46d94163625904cc273d88eeec46843a6362e5f3cc27d24aefec46ee336362a206cd270a62efec45,"66.77938333333333,-31.899366666666666",,224,5
24/Apr/2022 00:36:06,2022_seal1,MO,471746359a64621feec8272c50f7ec462e9364628213c9276afff6ec46d98b64629d45c9279caff6ec469985646298b0c927a2e0f5ec4678776462beb2c927fce1f5ec46f05a6462bfe7c9274735f4ec462f546462f0e3c9279208f4ec46c34c6462da9ec92769bff2ec466e3f6462519fc92705bef2ec46a73764625427c927c9def0ec4606316462ac6ec92730daf1ec46022364625c27c9279cddf0ec4683f863623200c927dff7edec4697ea63624904c9271685edec4676e363628b23c927bf58edec4688dc6362b237c9275b33edec4696ce6362bd2cc927b789ecec466cc0636284a6c9271f7aecec464eb96362d4b7c9271664ecec464ab26362b5cdc927ef97ecec45,"66.77938333333333,-31.899366666666666",,263,6
