Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
26/Apr/2021 10:52:44,RockBLOCK 19648 #8,MO,4775462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a10745,"74.72635,12.617333333333333",,107,3
26/Apr/2021 10:52:25,RockBLOCK 19663 #6,MO,332e32392c32303231303432363130343933392c37372e323934343030302c32342e32323235323030,"77.34066666666666,24.078666666666667","3.29,20210426104939,77.2944000,24.2225200",41,1
26/Apr/2021 10:21:16,RockBLOCK 19636 #2,MO,583e8f866098ac7e3d330519039202a70212034e0273036d038606cb039b040f039909f2091c0c7d103c4aea5ae8fd1797993ac463d037a634b044fa379536ed749696c7217035ab33cc5153776661e32d463521672e2e7c28223c5f3c5c306b3bca4485464345bb5309799b42d72a6a241d3fe9380456000045,"73.21903333333333,19.49513333333333",,122,3
26/Apr/2021 10:19:56,RockBLOCK 19663 #6,MO,332e33322c32303231303432363130313933302c37372e323931303738342c32342e32313139323136,"76.89798333333333,32.94428333333333","3.32,20210426101930,77.2910784,24.2119216",41,1
26/Apr/2021 10:00:28,RockBLOCK 19636 #2,MO,472d462c7a86608a2ea82b79b06d0b4615818660ff7fa72b9f966c0b461c8886601fd7a62bd74d6b0b46248f8660602fa62baae2690b45,"73.26345,19.143233333333335",,55,2
26/Apr/2021 09:49:41,RockBLOCK 19663 #6,MO,332e33302c32303231303432363039343931372c37372e323837383539322c32342e32313334353132,"77.32636666666667,24.227733333333333","3.30,20210426094917,77.2878592,24.2134512",41,1
26/Apr/2021 09:21:11,RockBLOCK 19663 #6,MO,332e33312c32303231303432363039313931322c37372e323838353633322c32342e32313939303038,"77.2866,24.1609","3.31,20210426091912,77.2885632,24.2199008",41,1
26/Apr/2021 08:53:45,RockBLOCK 19663 #6,MO,332e33312c32303231303432363038343930382c37372e323839363338342c32342e32333730383332,"77.3185,24.227733333333333","3.31,20210426084908,77.2896384,24.2370832",41,1
26/Apr/2021 08:33:31,RockBLOCK 19654 #3,MO,478046e45686604554e32d3e03990f46f25d8660a807e22de49c960f46f964866050efe12d365b930f461b6c8660a563e12d0e3b900f461f738660affbe02dfd038d0f46117a86604eb3e02d54058a0f45,"77.00765,26.066216666666666",,81,2
26/Apr/2021 08:24:44,RockBLOCK 19636 #2,MO,5839738660eca5013d7349533b5720d5134e119a1cc624652bb225fe16160b790d4f1a463c7d52f451fe40b6646058d9560670dce69a5fe8fdc5a1e17c2943ef391d766068035a384b4a8ce3cc8f9e2ebc29583c4a7f708a63f16c60a48c7310a49e8e9f50e03fe7698bba79c815c102a74f562e62968d000045,"73.26345,19.143233333333335",,122,3
26/Apr/2021 08:19:32,RockBLOCK 19663 #6,MO,332e33302c32303231303432363038313930392c37372e323932313739322c32342e32363139313034,"77.31198333333333,24.376466666666666","3.30,20210426081909,77.2921792,24.2619104",41,1
26/Apr/2021 08:00:56,RockBLOCK 19636 #2,MO,472946065e8660657fab2b7c4f720b46f56486606985aa2b784c710b46ff6b86609daaa92badf56f0b461f73866007dea82be7ca6e0b45,"73.26345,19.143233333333335",,55,2
26/Apr/2021 07:49:56,RockBLOCK 19663 #6,MO,332e33302c32303231303432363037343933312c37372e323936343033322c32342e32393333303732,"77.3185,24.227733333333333","3.30,20210426074931,77.2964032,24.2933072",41,1
26/Apr/2021 07:21:24,RockBLOCK 19663 #6,MO,332e33312c32303231303432363037313931322c37372e333031333530342c32342e33333131313834,"77.32636666666667,24.227733333333333","3.31,20210426071912,77.3013504,24.3311184",41,1
26/Apr/2021 07:17:24,RockBLOCK 19648 #8,MO,476d462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a10745,"74.78623333333333,12.810316666666667",,81,2
26/Apr/2021 06:49:36,RockBLOCK 19663 #6,MO,332e32382c32303231303432363036343931322c37372e333038353035362c32342e33363734353630,"77.35825,24.294916666666666","3.28,20210426064912,77.3085056,24.3674560",41,1
26/Apr/2021 06:21:22,RockBLOCK 19636 #2,MO,58035786603052193db016c40ff10a99059d01380197010803f804630840094709a70b83207d0f2d21c71d8f1bd0229536fa2ec74a4f6fa56e145748879cbff89ae8fd9b5fb34e054adba8fff405c097b0b65f9c37e74ca26f345ab136ef4b9235d552953d5d50e362d968f46dc8779ca91e5fe53b2363000045,"73.26345,19.143233333333335",,122,3
26/Apr/2021 06:19:53,RockBLOCK 19663 #6,MO,332e32392c32303231303432363036313933302c37372e333136313430382c32342e34303535303234,"77.34381666666667,24.44395","3.29,20210426061930,77.3161408,24.4055024",41,1
26/Apr/2021 06:00:34,RockBLOCK 19636 #2,MO,472546e6418660f373af2bbfbd780b46d4488660e665ae2bf50f770b46e54f8660a46dad2bc192750b46eb5686606971ac2ba5ca730b45,"73.29588333333334,19.184116666666668",,55,2
26/Apr/2021 05:50:28,RockBLOCK 19663 #6,MO,332e33302c32303231303432363035343931322c37372e333235313532302c32342e34343430303030,"77.34381666666667,24.44395","3.30,20210426054912,77.3251520,24.4440000",41,1
26/Apr/2021 05:34:30,RockBLOCK 19654 #3,MO,477a46bb2c8660db4fe72d5e7c9c0f46db3386605acae62d69b99d0f46df3a86609738e62d01079e0f46cf418660c886e52d7bc39d0f46e248866097c3e42da8e49c0f46fe4f86608a05e42d653d9b0f45,"77.0236,26.279633333333333",,81,2
26/Apr/2021 05:19:30,RockBLOCK 19663 #6,MO,332e33302c32303231303432363035313930382c37372e333335323434382c32342e34373734343634,"77.35825,24.294916666666666","3.30,20210426051908,77.3352448,24.4774464",41,1
26/Apr/2021 04:49:33,RockBLOCK 19663 #6,MO,332e33302c32303231303432363034343931312c37372e333435363332302c32342e35303338333336,"77.34381666666667,24.44395","3.30,20210426044911,77.3456320,24.5038336",41,1
26/Apr/2021 04:38:39,RockBLOCK 19648 #8,MO,4767462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a10745,"74.82936666666667,12.840666666666667",,107,3
26/Apr/2021 04:21:14,RockBLOCK 19636 #2,MO,58de3a8660b4ccd83c0404cd03e403cf03c604500371048a0213020803ec0247065208e5076d12ea110c146216301705188d1b5228dd3f7029aa1e3d3d09448347a72d495250af47d0e8fdc1dea595527b2c586f512e54383e964fa072214faa54e79396b1379f6a662f72eaa0496e0d36f76801483555000045,"73.29588333333334,19.184116666666668",,122,3
26/Apr/2021 04:19:35,RockBLOCK 19663 #6,MO,332e32392c32303231303432363034313930392c37372e333535323730342c32342e35323233323634,"77.37563333333334,24.511783333333334","3.29,20210426041909,77.3552704,24.5223264",41,1
26/Apr/2021 04:00:28,RockBLOCK 19636 #2,MO,472146cf258660fee1b22b85167d0b46b52c86601532b22bbb797c0b46bd3386600371b12be1917b0b46c53a86608b78b02b46527a0b45,"73.29588333333334,19.184116666666668",,55,2
26/Apr/2021 03:50:23,RockBLOCK 19663 #6,MO,332e33302c32303231303432363033343931302c37372e333635353631362c32342e35333336383634,"77.37563333333334,24.511783333333334","3.30,20210426034910,77.3655616,24.5336864",41,1
26/Apr/2021 03:19:58,RockBLOCK 19663 #6,MO,332e32372c32303231303432363033313933312c37372e333733383838302c32342e35333632363038,"77.40746666666666,24.579983333333335","3.27,20210426031931,77.3738880,24.5362608",41,1
26/Apr/2021 02:49:54,RockBLOCK 19663 #6,MO,332e32382c32303231303432363032343933302c37372e333831323836342c32342e35333134383332,"77.40746666666666,24.579983333333335","3.28,20210426024930,77.3812864,24.5314832",41,1
26/Apr/2021 02:30:28,RockBLOCK 19654 #3,MO,4774469f028660123be72d4bee8f0f4691098660cc7ce72dca24920f469d108660cbb2e72d5d83940f469d17866064fbe92dfb13750f46c31e866046cce72d7309990f46ae2586608790e72d2a029b0f45,"77.03901666666667,26.1364",,81,2
26/Apr/2021 02:21:24,RockBLOCK 19636 #2,MO,58c91e86600e32913c43012c014001f60023014b014202e401f701d0011e048a066d105c1bb81f6c1110106e21d80ad62bbf23bb190835bf235d3807463a3aac52fb3792329b314458d53fc759d0655d70b1a9d7ad7f89017f45c0f2903cb76cd9e8fdd580797463ad81a7f095c7c3d342725d7c79c998000045,"73.32833333333333,19.225183333333334",,122,3
26/Apr/2021 02:19:32,RockBLOCK 19663 #6,MO,332e33302c32303231303432363032313930392c37372e343336373535322c32342e38303330353238,"77.42196666666666,24.430333333333333","3.30,20210426021909,77.4367552,24.8030528",41,1
26/Apr/2021 02:00:41,RockBLOCK 19636 #2,MO,471d468d0986606a02b52b5c787d0b4694108660338ab42b96737d0b46a0178660a60bb42b8f977d0b46b21e86601b73b32bd46a7d0b45,"73.32833333333333,19.225183333333334",,55,2
26/Apr/2021 01:52:10,RockBLOCK 19663 #6,MO,332e32392c32303231303432363031343931342c37372e333931303436342c32342e35303335333736,"77.39011666666667,24.36245","3.29,20210426014914,77.3910464,24.5035376",41,1
26/Apr/2021 01:19:35,RockBLOCK 19663 #6,MO,332e32392c32303231303432363031313931302c37372e333932323735322c32342e34383139373630,"77.22908333333334,20.537066666666668","3.29,20210426011910,77.3922752,24.4819760",41,1
26/Apr/2021 01:05:19,RockBLOCK 19648 #8,MO,475f462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a10745,"74.83701666666667,12.7071",,107,3
26/Apr/2021 00:49:34,RockBLOCK 19663 #6,MO,332e32392c32303231303432363030343930392c37372e333931353236342c32342e34353634383634,"77.42196666666666,24.430333333333333","3.29,20210426004909,77.3915264,24.4564864",41,1
26/Apr/2021 00:32:41,RockBLOCK 19654 #3,MO,47704667ca8560e6b4e52d114d970f4652d185609a89e52d6200940f4655d88560ae76e52d32f3900f4662df856059a4e52da8cd8e0f467ee685600ae1e52d17688d0f4687ed8560c72fe62dced78c0f4675f48560a682e62dd41b8d0f467cfb8560c84de52d1591880f45,"77.05436666666667,25.992816666666666",,107,3
26/Apr/2021 00:21:52,RockBLOCK 19636 #2,MO,58bb028660eee47c3cd801800133019801b4015c012d021602de024802ab03e7065010b8227423331bb5190d105213d323ec4ed12cae1f9e3ef837de7fb52fb11b3d3371362848ca43292a575d7c42e840cf4e9e73bcde6a9116ae888ca86c0acfb480f582b6d7638a9f539a6be363624ebbbe3b97e8fd000045,"73.31698333333334,19.343066666666665",,122,3
26/Apr/2021 00:19:59,RockBLOCK 19663 #6,MO,332e33312c32303231303432363030313933312c37372e333839353535322c32342e34333131303732,"77.39011666666667,24.36245","3.31,20210426001931,77.3895552,24.4311072",41,1
26/Apr/2021 00:00:57,RockBLOCK 19636 #2,MO,4719466ced8560ef31b62b78cf7d0b4676f48560c200b62b617f7d0b467efb8560a0c5b52b1e6e7d0b469f028660736bb52b41607d0b45,"73.32833333333333,19.225183333333334",,55,2
25/Apr/2021 23:49:35,RockBLOCK 19663 #6,MO,332e33312c32303231303432353233343931302c37372e333836333638302c32342e34303633383732,"77.39011666666667,24.36245","3.31,20210425234910,77.3863680,24.4063872",41,1
25/Apr/2021 23:19:36,RockBLOCK 19663 #6,MO,332e32392c32303231303432353233313931312c37372e333832303335322c32342e33383438303438,"77.42196666666666,24.430333333333333","3.29,20210425231911,77.3820352,24.3848048",41,1
25/Apr/2021 23:18:03,RockBLOCK 19648 #8,MO,475b4619a0856044cdad2cccbd9c074619a0856044cdad2cccbd9c074619a0856044cdad2cccbd9c074619a0856044cdad2cccbd9c074619a0856044cdad2cccbd9c074619a08560a181a02c2318a107462ad985604c0fa22cc169a107462ad985604c0fa22cc169a10745,"74.83701666666667,12.7071",,107,3
25/Apr/2021 22:52:12,RockBLOCK 19663 #6,MO,332e33302c32303231303432353232343931302c37372e333737333337362c32342e33363930333638,"77.39011666666667,24.36245","3.30,20210425224910,77.3773376,24.3690368",41,1
25/Apr/2021 22:21:38,RockBLOCK 19636 #2,MO,5897e6856077f2803c5e01c40041012001280292029801980297025204db06870ccf078c18380fe51b80127819382ee81dc85fe87f6d42fc3053374474914a1c5b3b40753dfc5cfe54e34dda7c2b445a6d024a507ea2478e5de867de4ee03fbfb8447c905e67671c5c47f26a468172e8fdad5d4cd98e77000045,"73.3396,19.107116666666666",,122,3
25/Apr/2021 22:19:53,RockBLOCK 19663 #6,MO,332e32382c32303231303432353232313933302c37372e333732373336302c32342e33363131363830,"77.39011666666667,24.36245","3.28,20210425221930,77.3727360,24.3611680",41,1
25/Apr/2021 22:00:53,RockBLOCK 19636 #2,MO,47154648d88560bf92b62b6ea57e0b4655d885603192b62bfd9c7e0b465ddf8560c77cb62bee087e0b467fe685609a5bb62b36ef7d0b45,"73.32833333333333,19.225183333333334",,55,2
25/Apr/2021 21:49:38,RockBLOCK 19663 #6,MO,332e33312c32303231303432353231343931332c37372e333639313230302c32342e33363330313630,"77.39011666666667,24.36245","3.31,20210425214913,77.3691200,24.3630160",41,1
25/Apr/2021 21:19:49,RockBLOCK 19663 #6,MO,332e32392c32303231303432353231313931312c37372e333636363638382c32342e33373337343430,"77.39011666666667,24.36245","3.29,20210425211911,77.3666688,24.3737440",41,1
25/Apr/2021 20:52:58,RockBLOCK 19636 #2,MO,5871ca85609b7b193ca501e800cf002f011b01de00f70125025d029e04b90dbb16952c87366d15a81f062c9b160e3df54bfc452b7d417181c8a4f4e8fd897cac68e69351712555053ee95969905c532d725d88ae824b732a9f318f1fb9dcafba6c8352df41d66d3a87368069689a5c1333b590c55e7eb4000045,"73.37103333333333,19.2664",,122,3
25/Apr/2021 20:52:37,RockBLOCK 19663 #6,MO,332e32392c32303231303432353230343930392c37372e333635343931322c32342e33393137333434,"77.4364,24.280316666666668","3.29,20210425204909,77.3654912,24.3917344",41,1
25/Apr/2021 20:30:35,RockBLOCK 19636 #2,MO,4711465fca856016c9b62bdf4d800b45,"73.32833333333333,19.225183333333334",,16,1
25/Apr/2021 20:21:42,RockBLOCK 19636 #2,MO,587aca8560ddbfe33b43020b0255028202100282027e026902e1024607910d47232229074b0719482f7d293752036be964adc087b0acecc8fa48c6c667649d799cb889e8fdcf6a8e6cfe5dac9544df97814471d2890bdb0e95b4752e3751446ada97735c8ff45249ba98ccf48783a7e57b505542e6c54b000045,"73.32833333333333,19.225183333333334",,122,3
25/Apr/2021 20:19:32,RockBLOCK 19663 #6,MO,332e32382c32303231303432353230313930392c37372e333635343539322c32342e34313731373736,"77.37563333333334,24.511783333333334","3.28,20210425201909,77.3654592,24.4171776",41,1
