Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
09-11-20 13:36,RockBLOCK 18655 - Antarctica-AAD,MO,80c7973ce763904167215d3c98d77241ebaceb39443b0639e8427f38f86d2f39ad86e9379ebc9b3fff7f9358d445763b012c7f1a0c11b10d450a650844071105d202140245038a025202f6011b019f0088004b003a00340029000180cdcf3bef05ef50ea02f2f7fb2f018c02f7fe6bfb89fc3aff9900e4fffe00ec018aff5d000f004800130001000000fcff0180c8b962f8d219bf1f161b610be8f79cf5c2fce3fcddfbd9febbfe5e0000049606d105df0177003200c1ff0800e9ff0b00ff7f2e505c3a4d2e081de60c4308f808150649046904f702580100008fff83ffb4fe91ff0c0113001c002f0015002900f8ffacd197d781c2d29a018059aa59e987f75ce1ebe3c4f6b40041094105dafc40fcdbff93f659fe42fe19fe3cff47001cfff2ff637cff7fe07bc871eb6cb270d9711e6d32717f710f69d3627d6cd86c4d534c564c52ab4897468d3ea939b83e1143f43c702f,"-66.1974,110.5976",,340,7
09-11-20 13:30,RockBLOCK 18655 - Antarctica-AAD,MO,332e3233463030343536244750524d432c3133333031352e3030302c412c363631302e393431382c532c31313033352e383034342c452c302e30302c3332342e36352c3039313132302c2c2c442a37350d302c303030302a37320d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"-66.20893333333333,110.51445",,138,3
09-11-20 9:27,RockBLOCK 18655 - Antarctica-AAD,MO,fc80723cfdaa6541c5214f3cb32b4a412c5da5396a54a837f946c4379d48143880b22d38e196ab3fff7f4666bb521047733f5235aa269f195113cf111e0e03082e060d078109f90862054309f505a801de008c007c0047002e00ce27ff7f8d52a7fc3fe6dbeaf0dfc6ecff0a121aca16a408ce032701561fd42e2b158d285f1747081502420134018900a7ff01802e908593898f17b036ffd1299612d514603dab2660fea604321b5639f52f1921683ed127f0051902ec00810010ff1300b2292bd9b29bc0c5a43dff7f886d3c47de25d6057202140df6061aff21f6b9fc02fdaef93ef26301df0139014502a2ff1800baba54192876ff7f4a3f7502f7ea54ef5bfc41ff69f601fbdcfe0efa19fe83fe2dfc6afdfafc600082ffe3ff3000ceff1e00ff7f117190641c5ccc58ad5adc62e66eee71f167ad5ff464186316578755805abe62283f9933f3401c379130c02e9232a739,"-66.17133333333334,110.68068333333333",,340,7
09-11-20 9:21,RockBLOCK 18655 - Antarctica-AAD,MO,332e3235463030343535244750524d432c3039323133342e3030302c412c363631302e393433332c532c31313033352e383035352c452c302e30302c3233362e35352c3039313132302c2c2c442a37350d302c303030302a37440d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"-66.1974,110.5976",,138,3
09-11-20 8:56,RockBLOCK 17328 - Antarctica-AAD,MO,4b8b823c11bb644157cd5a3c4bd752413348ae39a0a00d38446a55381b98463877a35938f3b4b83fff7f1067ea53e14a1f474c3f95340f2fbf270e19840be603c5045d06e0069a060f067804bb02a8010c01bb006400320047005d1d14384912d0be0180568a2bd28b25873edf01e6e2a5f814041605210172fedd06150df3044902dbfe8a015200c5ffd2ff07499738161302f03de9afef0ed1228d018098c827fe480397fc89f5a1edcded49ebdcf12afa60fe3100a700dcffe7ff0300ff7f5a4b6122b2f67bc88eae0bb639c2aac840dd85f53801970677046cfac6fda7fba5fec1ff5a03890195002800feff0600f0b58ff9532fe2439249c13eab0308a5018057c8dbfe60ff1dfef2031600a3fcc1f66ef764fdcdfe0efe12013900fcff0f000472256ef86d3e6db8691e66236200594c505a4e9a55ff7f3c5d11445a435537db346134793194315c2a0836622b203a9126,"-66.1974,110.5976",,340,7
09-11-20 8:50,RockBLOCK 17328 - Antarctica-AAD,MO,322e3434463030343434244750524d432c3038353030392e3030302c412c363631312e353837372c532c31313033372e383038362c452c302e30302c37392e36352c3039313132302c2c2c442a34420d0d302c303030302a37420d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"-66.1974,110.5976",,138,3
09-11-20 5:18,RockBLOCK 18655 - Antarctica-AAD,MO,b40c883c581232417a26643c464f2b4183f39139ae5854381b2233388d251f381b841938b1bdba3ffe7f416fdb64c7563743bb31cc26e31f7c196b135710ba12a114a01a66204b24f828580e1e0694024901ce007b005000340029de20e2dad175bb6cae9fb6f3d5f6fb6a14961aba1fe028942d453f074d8d67ff7f0f26d6053e00ba0050011d000100fdffe5fb6a234946d7460229b118542151288a2b6126c219c2242a36a74cfe4fea61ff7f21296412210726028a00850016003800ff7f9f64991588c466ab24d29ffa6f069bffcb00d4178d193503e90f31350e313244d2200005dd02810000006200850035004dd799a6658501803d8dfea12eca3ef5370cf5121912800cdd1c1a302ffe0f0f0455f21b04fb3af9e5ffc6003500eeff2c00ff7f4e7b2271b964035b9258295b665879513351fd51cc4d844b7045f74b624a0741dd3e5638243e9f33942dd62f3737a033,"-66.19445,110.51445",,340,7
09-11-20 5:11,RockBLOCK 18655 - Antarctica-AAD,MO,332e3236463030343534244750524d432c3035313133352e3030302c412c363631302e393433312c532c31313033352e383039342c452c302e30312c3138372e33362c3039313132302c2c2c442a37390d2c303030302a35430d000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"-66.18291666666667,110.5976",,138,3
09-11-20 4:41,RockBLOCK 17328 - Antarctica-AAD,MO,3350913c35895b41ab73583ca26b4a414968b2399f81083817d87338722e6638c21a6638a4dbaf3fff7f265a6947c93a6530a5278a1edf176713a90e010b3b08f708c3087507d60a4b0bfc0733040b021901ab006e004b00400087bb830c2c2899e8d492028056b12fe8e60060fdf402ca103f118706d7111e22e21cf8192911f007110393015e004e00d9ff0180e39e60d8e9fc48ed7ace53d22ef322085f0431023f0156f8acee00edbae163e0b8e8b5f641fcdbfee6fffaff0c00d8ff0180ec91f9b9b3eaaffd12f838f630ffcc0d6913dd076701c4033d04bd048004ba014400dc054f0251019c00390079ff5800ff7fef65953fa414d7fdc6fa84f551ea3de3ece385ef49003d0bc3053afbf0f5bef808eeb7f74ffa0afe150087ff2200a6ffff7f5a7b0d74f87108744c751375b96cab5df854ec55ee5fbd5a4e5c456309500b41f232092e0c359e36ec339337832db82a,"-66.1974,110.5976",,340,7
09-11-20 4:35,RockBLOCK 17328 - Antarctica-AAD,MO,322e3431463030343433244750524d432c3034333432372e3030302c412c363631312e353835302c532c31313033372e383138322c452c302e30302c39342e37392c3039313132302c2c2c442a34370d30302c303030302a37350d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"-66.18291666666667,110.5976",,138,3
