positions for logger RockBLOCK 18950
2020-07-21 21:10:21 (UTC) : 80.96578833333334 N, 13.50357 E (DD) 8057.9473 N, 01330.2142 E (DMS)
2020-07-22 00:35:23 (UTC) : 80.95146833333334 N, 13.461445 E (DD) 8057.0881 N, 01327.6867 E (DMS)
2020-07-22 04:00:26 (UTC) : 80.94819166666667 N, 13.466368333333333 E (DD) 8056.8915 N, 01327.9821 E (DMS)
2020-07-22 07:25:39 (UTC) : 80.95456166666666 N, 13.508831666666667 E (DD) 8057.2737 N, 01330.5299 E (DMS)
2020-07-22 10:50:27 (UTC) : 80.94286 N, 13.491313333333334 E (DD) 8056.5716 N, 01329.4788 E (DMS)
2020-07-22 14:16:03 (UTC) : 80.92778833333334 N, 13.391948333333334 E (DD) 8055.6673 N, 01323.5169 E (DMS)
2020-07-22 17:41:40 (UTC) : 80.93237 N, 13.29326 E (DD) 8055.9422 N, 01317.5956 E (DMS)
2020-07-22 21:07:57 (UTC) : 80.93432666666666 N, 13.218541666666667 E (DD) 8056.0596 N, 01313.1125 E (DMS)
2020-07-23 00:08:56 (UTC) : 80.92814166666666 N, 13.164073333333333 E (DD) 8055.6885 N, 01309.8444 E (DMS)
2020-07-23 03:09:36 (UTC) : 80.92740333333333 N, 13.094698333333334 E (DD) 8055.6442 N, 01305.6819 E (DMS)
2020-07-23 06:10:13 (UTC) : 80.93511666666667 N, 13.02187 E (DD) 8056.1070 N, 01301.3122 E (DMS)
2020-07-23 09:35:22 (UTC) : 80.94255833333334 N, 12.892273333333334 E (DD) 8056.5535 N, 01253.5364 E (DMS)
2020-07-23 13:00:43 (UTC) : 80.944895 N, 12.663826666666667 E (DD) 8056.6937 N, 01239.8296 E (DMS)
2020-07-23 16:26:37 (UTC) : 80.95397166666666 N, 12.448218333333333 E (DD) 8057.2383 N, 01226.8931 E (DMS)
2020-07-23 19:51:45 (UTC) : 80.96269166666667 N, 12.272411666666667 E (DD) 8057.7615 N, 01216.3447 E (DMS)
2020-07-23 23:16:49 (UTC) : 80.96586666666667 N, 12.104616666666667 E (DD) 8057.9520 N, 01206.2770 E (DMS)
2020-07-24 02:41:53 (UTC) : 80.97456166666667 N, 11.992765 E (DD) 8058.4737 N, 01159.5659 E (DMS)
2020-07-24 06:06:59 (UTC) : 80.98845666666666 N, 11.94618 E (DD) 8059.3074 N, 01156.7708 E (DMS)
2020-07-24 09:32:10 (UTC) : 80.99695166666666 N, 11.930566666666667 E (DD) 8059.8171 N, 01155.8340 E (DMS)
2020-07-24 12:33:00 (UTC) : 80.99223 N, 11.843351666666667 E (DD) 8059.5338 N, 01150.6011 E (DMS)
2020-07-24 15:33:41 (UTC) : 80.99631 N, 11.749818333333334 E (DD) 8059.7786 N, 01144.9891 E (DMS)
2020-07-24 18:59:28 (UTC) : 81.00374166666667 N, 11.737023333333333 E (DD) 8100.2245 N, 01144.2214 E (DMS)
2020-07-24 22:24:36 (UTC) : 80.99961166666667 N, 11.67693 E (DD) 8059.9767 N, 01140.6158 E (DMS)
2020-07-25 01:49:45 (UTC) : 80.99561833333334 N, 11.564035 E (DD) 8059.7371 N, 01133.8421 E (DMS)
2020-07-25 05:14:54 (UTC) : 81.00633166666667 N, 11.527816666666666 E (DD) 8100.3799 N, 01131.6690 E (DMS)
2020-07-25 11:27:07 (UTC) : 81.00095833333333 N, 11.396388333333334 E (DD) 8100.0575 N, 01123.7833 E (DMS)
2020-07-25 14:52:28 (UTC) : 80.99866 N, 11.251675 E (DD) 8059.9196 N, 01115.1005 E (DMS)
2020-07-25 18:19:54 (UTC) : 80.99629 N, 11.160235 E (DD) 8059.7774 N, 01109.6141 E (DMS)
2020-07-25 21:46:29 (UTC) : 80.99429833333333 N, 11.081795 E (DD) 8059.6579 N, 01104.9077 E (DMS)
2020-07-26 01:11:38 (UTC) : 80.98073333333333 N, 10.999808333333334 E (DD) 8058.8440 N, 01059.9885 E (DMS)
2020-07-26 04:38:13 (UTC) : 80.97678833333333 N, 10.952726666666667 E (DD) 8058.6073 N, 01057.1636 E (DMS)
2020-07-26 10:40:03 (UTC) : 80.95515666666667 N, 10.97195 E (DD) 8057.3094 N, 01058.3170 E (DMS)
2020-07-26 14:05:30 (UTC) : 80.933805 N, 10.872283333333334 E (DD) 8056.0283 N, 01052.3370 E (DMS)
2020-07-26 17:30:51 (UTC) : 80.91964666666667 N, 10.771608333333333 E (DD) 8055.1788 N, 01046.2965 E (DMS)
2020-07-26 20:56:00 (UTC) : 80.91666833333333 N, 10.61595 E (DD) 8055.0001 N, 01036.9570 E (DMS)
2020-07-27 00:21:04 (UTC) : 80.927365 N, 10.514068333333334 E (DD) 8055.6419 N, 01030.8441 E (DMS)
2020-07-27 03:45:30 (UTC) : 80.93386166666667 N, 10.42985 E (DD) 8056.0317 N, 01025.7910 E (DMS)
2020-07-27 07:10:48 (UTC) : 80.944355 N, 10.49402 E (DD) 8056.6613 N, 01029.6412 E (DMS)
2020-07-27 10:35:51 (UTC) : 80.93787333333333 N, 10.550008333333333 E (DD) 8056.2724 N, 01033.0005 E (DMS)
2020-07-27 16:48:04 (UTC) : 80.92411 N, 10.537136666666667 E (DD) 8055.4466 N, 01032.2282 E (DMS)
2020-07-27 20:13:33 (UTC) : 80.92255833333333 N, 10.545366666666666 E (DD) 8055.3535 N, 01032.7220 E (DMS)
2020-07-27 23:38:47 (UTC) : 80.92174166666666 N, 10.592281666666667 E (DD) 8055.3045 N, 01035.5369 E (DMS)
2020-07-28 03:03:57 (UTC) : 80.91361166666667 N, 10.563833333333333 E (DD) 8054.8167 N, 01033.8300 E (DMS)
2020-07-28 06:29:22 (UTC) : 80.91612833333333 N, 10.592348333333334 E (DD) 8054.9677 N, 01035.5409 E (DMS)
2020-07-28 09:55:05 (UTC) : 80.90859833333333 N, 10.660046666666666 E (DD) 8054.5159 N, 01039.6028 E (DMS)
2020-07-28 13:20:55 (UTC) : 80.89454166666667 N, 10.646041666666667 E (DD) 8053.6725 N, 01038.7625 E (DMS)
2020-07-28 16:46:35 (UTC) : 80.88749833333333 N, 10.569855 E (DD) 8053.2499 N, 01034.1913 E (DMS)
2020-07-28 20:12:10 (UTC) : 80.88669666666667 N, 10.616135 E (DD) 8053.2018 N, 01036.9681 E (DMS)
2020-07-28 23:37:31 (UTC) : 80.88031333333333 N, 10.656641666666667 E (DD) 8052.8188 N, 01039.3985 E (DMS)
2020-07-29 03:03:22 (UTC) : 80.87551666666667 N, 10.680575 E (DD) 8052.5310 N, 01040.8345 E (DMS)
2020-07-29 06:29:58 (UTC) : 80.87253666666666 N, 10.772655 E (DD) 8052.3522 N, 01046.3593 E (DMS)
2020-07-29 09:55:13 (UTC) : 80.86666833333334 N, 10.824228333333334 E (DD) 8052.0001 N, 01049.4537 E (DMS)
2020-07-29 13:20:30 (UTC) : 80.859765 N, 10.82116 E (DD) 8051.5859 N, 01049.2696 E (DMS)
2020-07-29 16:45:47 (UTC) : 80.859245 N, 10.78266 E (DD) 8051.5547 N, 01046.9596 E (DMS)
2020-07-29 20:12:25 (UTC) : 80.85168833333333 N, 10.810483333333334 E (DD) 8051.1013 N, 01048.6290 E (DMS)
2020-07-29 23:37:32 (UTC) : 80.84726 N, 10.72423 E (DD) 8050.8356 N, 01043.4538 E (DMS)
2020-07-30 03:03:19 (UTC) : 80.85359 N, 10.662206666666666 E (DD) 8051.2154 N, 01039.7324 E (DMS)
2020-07-30 06:28:25 (UTC) : 80.84127666666667 N, 10.661905 E (DD) 8050.4766 N, 01039.7143 E (DMS)
2020-07-30 09:53:41 (UTC) : 80.82796333333333 N, 10.56673 E (DD) 8049.6778 N, 01034.0038 E (DMS)
2020-07-30 13:19:43 (UTC) : 80.82584166666666 N, 10.496305 E (DD) 8049.5505 N, 01029.7783 E (DMS)
2020-07-30 16:44:54 (UTC) : 80.81676 N, 10.39882 E (DD) 8049.0056 N, 01023.9292 E (DMS)
2020-07-30 20:11:27 (UTC) : 80.81252 N, 10.30055 E (DD) 8048.7512 N, 01018.0330 E (DMS)
positions for logger RockBLOCK 13314
2020-07-21 20:45:08 (UTC) : 80.989365 N, 14.548705 E (DD) 8059.3619 N, 01432.9223 E (DMS)
2020-07-22 00:13:16 (UTC) : 80.98065666666666 N, 14.532365 E (DD) 8058.8394 N, 01431.9419 E (DMS)
2020-07-22 03:41:23 (UTC) : 80.97356166666667 N, 14.55849 E (DD) 8058.4137 N, 01433.5094 E (DMS)
2020-07-22 07:09:37 (UTC) : 80.97862 N, 14.591723333333332 E (DD) 8058.7172 N, 01435.5034 E (DMS)
2020-07-22 10:38:47 (UTC) : 80.97120833333334 N, 14.626613333333333 E (DD) 8058.2725 N, 01437.5968 E (DMS)
