Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
29/Sep/2018 22:11:31,RockBLOCK 14437,MO,3e343e3f020a664046590e3fc469fd409861ae3e281fd13c77ee6e3d0d560f3e054ca63d59a27940314f8d362a2a5524df1e1d1a301bec25e43dc865fe7feb67e43f1d261a16840e9c07ee06080a370d840ad00e2e0d4d0ebb16de36031a670ca01525227b0fe8db56bf0bdaefd0cefbff7f454a09dc65dcadf18cec66e944facc1369e344e2fff437edc41d1aff750341fd6af536f3b0f68904e423af54ff7f4c5d940ad0115b1d400dc8f842fa70f995f7500f7f12db2a411ebe227436a3b841d936ecc9f570febc09e113401129e9e2a0018068a86ff0e105c3f5adf7f9fdebfd070303fcadf798f330fb4ef9d1f80bdc4de09ae4d6e3a7e72ef6a404670dbe260970ff7f7718d30d6012bd033fff5cfd0a02b80201fe00fa46feec0e29037507f07dff7ffb794b73cb74c678d271775e8c484235212ab92a092f06312f38c33d4243293931299327f42a41278b28cc29dd22,"80.92711666666666,13.760783333333332",,340,7
29/Sep/2018 22:05:29,RockBLOCK 14437,MO,332e3233463030323634244750524d432c3232303434372e3030302c412c383035342e393439322c4e2c30313334372e353832342c452c302e35392c3130332e32332c3239303931382c2c2c412a36380d0d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"80.96148333333333,13.815016666666667",,138,3
29/Sep/2018 17:05:33,RockBLOCK 14437,MO,19584c3f30716e40cf5c223f7cd90d410671223f495ac63dc90a2b3df6ec743e896d153e63999d40312f0b24471ad9132410250ef80fe01c4040b972fe7fd0554a2de717fe0a62081c06680616073707cb073207d0030903f906d3b050c841df4df2cefe2b04ed05f4025fdf6b9d01806db6600ab71492fda3ff12046003ea018503bf03b0013e01a0ffdffdbfe14af3600d96208e28d1235b1128f85a0c9d74ff7f322e7636c132a505bc1500149810671a5f01bc085e05aa05b6097c02de247019a50fd4085904780142009d03edfdd3a401808ecae6f131ff3b05dfffddfd63ff070066ff1bfe60fd32fee8fe42f9cde4a5f24bf82cfa22faedf8f7f726f522fa3e3dff7fee745f421a11a7fc3afeb6004e0282fde0fc600864013afc93fceb02917a8a7bff7fe77e0d75ba676352da339f1ffa180819991c3e208321ca28ba2c8c2cd52b4a257d22121ea71f8727102a841e,"80.94368333333334,13.3187",,340,7
29/Sep/2018 16:59:22,RockBLOCK 14437,MO,332e3232463030323633244750524d432c3136353930382e3030302c412c383035342e383432322c4e2c30313332352e353230392c452c302e36352c37382e33312c3239303931382c2c2c412a35360d310d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"80.94368333333334,13.3187",,138,3
29/Sep/2018 11:48:27,RockBLOCK 14437,MO,332e3232463030323632244750524d432c3131343633302e3030302c412c383035352e333736312c4e2c30313331342e353231312c452c302e36332c3138302e36372c3239303931382c2c2c412a36320d420d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"80.9173,13.045633333333333",,138,3
29/Sep/2018 10:48:34,RockBLOCK 14435,MO,37d37d3f6b927840f909473f5214e940cdb32a3f3c083f3b1c8f833e4da22a3fb5a53d3beb933f43b238fc33b02d3a236a185113351a53365e64ff7ff2638e396329a719fe0c480a430c3c155f1e0f13481cab147114ba0c5e17fffe5df79ff49301b612bd1134072604ff0dff1e6d26e61f3b0c5108360f840ec00ea216ff2bcb1d5f2fa6fff1f53e1dff7f2e1b1c0d49ffc3f816facffa2df378da21ae0180e588bebca9d76aeaf1f567f409f53be5cacdc2da3ac87cde09d74ff287d64ec703cc51d2c8dc98e7b0eccce5aec9a49b01800b9c73c69fd65ce603f3b9f5bef3c5eaa3e1f3ecbae357eb90eb4cf3b3e83491daa6dcbeb2d2c7de95e6a1f0fb1d676f4a0928a18e9405b615bed7e445ffbc04b5cc9d8b6fd101802c0dbe09491eec8bff7f8674e96742613666e76e62603540e627271e481fd82069210624382e5f2d8421a41b45150219a7125611b112e511ce0d,"80.95176666666667,13.09705",,340,7
29/Sep/2018 10:41:05,RockBLOCK 14435,MO,332e3231463030323838244750524d432c3130343032322e3030302c412c383035352e353231352c4e2c30313331342e323636312c452c312e32352c3134302e32362c3239303931382c2c2c412a36380d350d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"80.95176666666667,13.09705",,138,3
29/Sep/2018 06:20:49,RockBLOCK 14435,MO,332e3231463030323837244750524d432c3036313934312e3030302c412c383035372e323033352c4e2c30313330352e393339362c452c312e30342c3131302e39322c3239303931382c2c2c412a36430d0d0d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"80.98623333333333,13.148866666666667",,138,3
29/Sep/2018 02:08:53,RockBLOCK 14435,MO,9720863fdbaf8840c94b5e3f1fa1e1405c32973fdb79a33e095d453f03f38b3e6ad9d63e9b26ec40e20ed60c750b2b0bbd0bd40d73166b31e462ff7f3e595a237f0d3c08da08b90895076e0cab0e1015c7173a118c0d370d8c107ffd62ffd000bd00a9fd05f918f55ce8f4ae018020bf6df7b9ff0903f4021d01ccfe5ff131f2f3edaffd6f0a12fccef515e5400200007efe1afea4fde5fb13f6a8de2aa70180e8a698e0e7f766fd45fd93fb29fbabf55ef1cceb78ec09f163f34af6aaf367fa74fa26ff1906e10b9b10ec195c2162e90280238901e71308040add06d2ffe1fdd6fe07f886f61af2f7f054e466f2cc046cfbf0fa9af8fdf6c3f909ff8604d0135b50fe7f6e32c50156ff7efbca02d8032700bb0e0b0f290e36090bfb35fe2507490dff7f4f6f8962095965516646e1317e1e4e155212a11278167019061954195f191f18be13c312cf12d5102b1298143f14cf12,"80.99421666666667,12.925983333333333",,340,7
29/Sep/2018 02:04:38,RockBLOCK 14435,MO,332e3231463030323836244750524d432c3032303135392e3030302c412c383035382e313238312c4e2c30313330312e323939362c452c302e37362c3230342e33372c3239303931382c2c2c412a36310d0d0d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"81.02068333333334,13.201083333333333",,138,3
